Type,SKU,Name,Published,Categories,Tags,Short description,Description,Tax status,Tax class,Stock,Regular price,Meta: allergens,Meta: spice_level,Meta: dietary_info
simple,HK-NVS-001,Chicken Tikka,1,"Starters & Appetizers","non-veg,starter,chicken,grilled","Succulent chicken pieces marinated in yogurt and spices, grilled to perfection","Traditional Indian appetizer featuring tender chicken pieces marinated in aromatic spices and yogurt, then grilled in tandoor style. A perfect start to your meal.",taxable,,instock,6.00,"Dairy (yogurt), Mustard",Medium,"Contains: Dairy"
simple,HK-NVS-002,Chilli Chicken Dry,1,"Starters & Appetizers","non-veg,starter,chicken,spicy,indo-chinese","Indo-Chinese style crispy chicken tossed with peppers and chillis in spicy sauce","Popular Indo-Chinese dish with crispy fried chicken pieces tossed with bell peppers, onions, and green chillis in a spicy tangy sauce.",taxable,,instock,6.00,"Gluten (if battered), Soy sauce",Hot,"Spicy"
simple,HK-NVS-003,Tandoori Chicken (On the bone),1,"Starters & Appetizers","non-veg,starter,chicken,grilled","Classic tandoori chicken on the bone, marinated in traditional spices","Authentic tandoori chicken prepared with bone-in pieces, marinated overnight in yogurt and traditional Indian spices, then cooked in tandoor for that signature smoky flavor.",taxable,,instock,6.00,"Dairy (yogurt), Mustard",Medium,"Contains: Dairy"
simple,HK-NVM-001,Butter Chicken,1,"Main Courses & Curries","non-veg,main,chicken,curry,popular,creamy","Tender chicken in rich, creamy tomato-based gravy","Classic North Indian curry featuring succulent chicken pieces in a velvety tomato and butter sauce with cream and aromatic spices.",taxable,,instock,8.50,"Dairy (cream, butter), Cashews (may contain)",Mild to Medium,"Contains: Dairy, May contain nuts"
simple,HK-NVM-002,Chicken Tikka Masala,1,"Main Courses & Curries","non-veg,main,chicken,curry,popular,creamy","Grilled chicken tikka in spiced tomato cream sauce","Marinated chicken tikka pieces cooked in a rich, spiced tomato and cream based masala sauce. A British-Indian favorite.",taxable,,instock,8.50,"Dairy (cream, yogurt), Cashews (may contain)",Medium,"Contains: Dairy, May contain nuts"
simple,HK-NVM-003,Chicken Do Pyaza,1,"Main Courses & Curries","non-veg,main,chicken,curry","Chicken curry with double the onions for extra flavor","Tender chicken pieces slow-cooked with caramelized onions in two styles - creating layers of sweet, savory depth in a luscious, aromatic gravy. A traditional favorite that gets richer with every bite.",taxable,,instock,8.50,"May contain dairy",Medium,""
simple,HK-NVM-004,Kadhai Chicken,1,"Main Courses & Curries","non-veg,main,chicken,curry","Chicken cooked with bell peppers and tomatoes in kadhai spices","Juicy chicken pieces wok-tossed with vibrant bell peppers, tomatoes, and onions in a bold, freshly ground spice blend. Each bite bursts with robust flavors and a delightful char.",taxable,,instock,8.50,"May contain dairy",Medium to Hot,""
simple,HK-NVM-005,Hariyali Chicken,1,"Main Courses & Curries","non-veg,main,chicken,curry","Green chicken curry with coriander, mint and spinach","Vibrant green curry made with fresh coriander, mint, spinach and green chillis, giving the chicken a unique herbaceous flavor.",taxable,,instock,8.50,"Dairy (may contain)",Medium,"Contains: Fresh herbs"
simple,HK-NVM-006,Chicken Curry,1,"Main Courses & Curries","non-veg,main,chicken,curry","Traditional home-style chicken curry","Classic Indian chicken curry prepared with onions, tomatoes, and a blend of traditional spices. Comfort food at its best.",taxable,,instock,8.50,"May contain dairy",Medium,""
simple,HK-NVM-007,Chicken Changezi,1,"Main Courses & Curries","non-veg,main,chicken,curry,creamy","Rich Mughlai-style chicken curry with creamy gravy","Royal Mughlai curry with chicken cooked in a rich, creamy gravy flavored with aromatic spices, cream and cashew paste.",taxable,,instock,8.50,"Dairy (cream), Cashews",Mild to Medium,"Contains: Dairy, Nuts"
simple,HK-NVM-008,Chicken Manchurian,1,"Main Courses & Curries","non-veg,main,chicken,indo-chinese","Indo-Chinese chicken in tangy soy-based sauce","Popular Indo-Chinese dish with chicken dumplings or pieces in a tangy, slightly sweet sauce with soy, ginger and garlic.",taxable,,instock,8.50,"Gluten (may contain), Soy sauce",Medium,"Contains: Soy"
simple,HK-NVM-009,Egg Curry,1,"Main Courses & Curries","non-veg,main,egg,curry","Boiled eggs in spiced onion-tomato gravy","Perfectly cooked eggs nestled in a silky, spiced tomato-onion gravy enriched with warming spices. A comforting, protein-packed curry that's both homey and indulgent.",taxable,,instock,6.00,"Eggs, May contain dairy",Medium,"Contains: Eggs"
simple,HK-BR-001,Chicken Dum Biryani w/ Raita,1,"Biryani & Rice","non-veg,biryani,rice,chicken,popular","Aromatic basmati rice layered with spiced chicken, slow-cooked","Traditional dum-cooked biryani with fragrant basmati rice layered with marinated chicken, herbs and spices, served with cooling raita.",taxable,,instock,9.00,"Dairy (yogurt in raita), Cashews (may contain)",Medium,"Contains: Dairy"
simple,HK-BR-002,Butter Chicken Biryani w/ Raita,1,"Biryani & Rice","non-veg,biryani,rice,chicken,creamy,popular","Fusion biryani combining butter chicken flavors with rice","Innovative biryani featuring butter chicken flavored rice with tender chicken pieces, combining two favorites into one dish. Served with raita.",taxable,,instock,9.00,"Dairy (cream, butter, yogurt), Cashews (may contain)",Mild to Medium,"Contains: Dairy, May contain nuts"
simple,HK-BR-003,Egg Fried Rice,1,"Biryani & Rice","non-veg,rice,egg,indo-chinese","Indo-Chinese style fried rice with scrambled eggs","Wok-fired rice with fluffy scrambled eggs, crisp vegetables, and savory soy - each grain perfectly seasoned and slightly smoky from the high heat. Addictively good.",taxable,,instock,4.00,"Eggs, Soy sauce, Gluten (may contain)",Mild,"Contains: Eggs, Soy"
simple,HK-RL-001,Egg Chicken Kathi Roll,1,"Breads & Rolls","non-veg,roll,chicken,egg,street-food","Chicken tikka wrapped in egg-coated paratha with chutney","Popular Indian street food with chicken tikka and egg wrapped in a flaky paratha with onions, peppers and tangy chutney.",taxable,,instock,5.00,"Gluten (wheat), Eggs, Dairy (may contain)",Medium,"Contains: Gluten, Eggs"
simple,HK-RL-002,Chicken Kathi Roll,1,"Breads & Rolls","non-veg,roll,chicken,street-food","Chicken tikka wrapped in paratha with chutney and vegetables","Classic kathi roll with spiced chicken tikka wrapped in soft paratha with onions, peppers and flavorful chutney.",taxable,,instock,5.00,"Gluten (wheat), Dairy (may contain)",Medium,"Contains: Gluten"
simple,HK-RL-003,Egg Roll,1,"Breads & Rolls","non-veg,roll,egg,street-food","Scrambled egg wrapped in paratha with vegetables and chutney","Fluffy spiced scrambled eggs with caramelized onions and peppers, wrapped in a warm, buttery paratha and drizzled with tangy chutney. Street food perfection in every bite.",taxable,,instock,3.00,"Gluten (wheat), Eggs",Mild,"Contains: Gluten, Eggs"
simple,HK-VS-001,Paneer Tikka,1,"Starters & Appetizers","veg,starter,paneer,grilled","Cottage cheese cubes marinated and grilled with peppers","Succulent cubes of cottage cheese marinated in aromatic spiced yogurt, char-grilled to smoky perfection with caramelized peppers and onions. Crispy edges, creamy center - irresistibly addictive.",taxable,,instock,6.00,"Dairy (paneer, yogurt), Mustard",Medium,"Contains: Dairy, Vegetarian"
simple,HK-VS-002,Chilli Paneer Dry,1,"Starters & Appetizers","veg,starter,paneer,spicy,indo-chinese","Indo-Chinese crispy paneer tossed in spicy chilli sauce","Popular Indo-Chinese appetizer with crispy paneer cubes tossed with peppers, onions and green chillis in spicy sauce.",taxable,,instock,6.00,"Dairy (paneer), Soy sauce, Gluten (may contain)",Hot,"Contains: Dairy, Soy, Spicy, Vegetarian"
simple,HK-VS-003,Gobhi Manchurian Dry,1,"Starters & Appetizers","veg,starter,cauliflower,spicy,indo-chinese","Crispy cauliflower florets in Indo-Chinese Manchurian sauce","Crispy battered cauliflower florets tossed in tangy, spicy Manchurian sauce with ginger, garlic and soy.",taxable,,instock,6.00,"Gluten (batter), Soy sauce",Medium to Hot,"Contains: Gluten, Soy, Vegetarian"
simple,HK-VM-001,Paneer Tikka Masala,1,"Main Courses & Curries","veg,main,paneer,curry,popular,creamy","Grilled paneer in spiced tomato cream sauce","Marinated paneer tikka pieces in a rich, spiced tomato and cream based masala sauce.",taxable,,instock,8.00,"Dairy (paneer, cream, yogurt), Cashews (may contain)",Medium,"Contains: Dairy, May contain nuts, Vegetarian"
simple,HK-VM-002,Chilli Paneer Gravy,1,"Main Courses & Curries","veg,main,paneer,curry,spicy,indo-chinese","Paneer in Indo-Chinese style spicy gravy","Tender paneer cubes bathed in a fiery, tangy Indo-Chinese sauce with crunchy peppers and onions. The perfect balance of heat, sweet, and savory that'll have you reaching for more.",taxable,,instock,8.00,"Dairy (paneer), Soy sauce, Gluten (may contain)",Hot,"Contains: Dairy, Soy, Spicy, Vegetarian"
simple,HK-VM-003,Mushroom Chilli,1,"Main Courses & Curries","veg,main,mushroom,curry,spicy,indo-chinese,vegan-friendly","Mushrooms in spicy Indo-Chinese chilli sauce","Meaty mushrooms tossed in a bold, spicy Indo-Chinese sauce with crisp peppers and aromatic ginger-garlic. Each bite packs a punch of umami, heat, and satisfying texture.",taxable,,instock,8.00,"Soy sauce, Gluten (may contain)",Medium to Hot,"Contains: Soy, Spicy, Vegetarian, Vegan-adaptable"
simple,HK-VM-004,Paneer Ke Kofte,1,"Main Courses & Curries","veg,main,paneer,curry,creamy","Paneer dumplings in creamy curry sauce","Soft paneer and potato dumplings (koftas) served in a rich, creamy tomato-based gravy.",taxable,,instock,8.00,"Dairy (paneer, cream), Cashews (may contain)",Mild to Medium,"Contains: Dairy, May contain nuts, Vegetarian"
simple,HK-VM-005,Pasanda Paneer,1,"Main Courses & Curries","veg,main,paneer,curry,creamy","Rich Mughlai-style paneer curry with creamy gravy","Royal Mughlai curry with paneer slices in a rich, creamy gravy flavored with aromatic spices and nuts.",taxable,,instock,8.00,"Dairy (paneer, cream), Cashews, Almonds",Mild,"Contains: Dairy, Nuts, Vegetarian"
simple,HK-VM-006,Matar Paneer,1,"Main Courses & Curries","veg,main,paneer,curry","Paneer and peas in tomato-onion gravy","Soft paneer cubes and sweet green peas swimming in a luscious tomato-onion gravy, subtly spiced and utterly comforting. A timeless North Indian classic that never disappoints.",taxable,,instock,8.00,"Dairy (paneer, may contain cream)",Medium,"Contains: Dairy, Vegetarian"
simple,HK-VM-007,Mix Vegetable,1,"Main Courses & Curries","veg,main,vegetables,curry,vegan-friendly","Mixed vegetables in spiced curry sauce","A vibrant medley of garden-fresh seasonal vegetables simmered in aromatic spices and a silky curry sauce. Wholesome, colorful, and bursting with natural flavors.",taxable,,instock,7.00,"May contain dairy",Medium,"Vegetarian, Vegan-adaptable"
simple,HK-VM-008,Dum Aloo,1,"Main Courses & Curries","veg,main,potato,curry,creamy","Baby potatoes in rich Kashmiri-style gravy","Baby potatoes cooked in a rich, aromatic Kashmiri-style gravy with yogurt and spices.",taxable,,instock,6.00,"Dairy (yogurt, may contain cream), Cashews (may contain)",Medium,"Contains: Dairy, May contain nuts, Vegetarian"
simple,HK-VM-009,Yellow Daal Tadka,1,"Main Courses & Curries","veg,main,lentils,daal,vegan-friendly","Yellow lentils tempered with cumin and garlic","Comfort food - yellow lentils (moong/toor dal) cooked to perfection and tempered with ghee, cumin, garlic and spices.",taxable,,instock,4.00,"Dairy (ghee/butter for tadka)",Mild,"Contains: Dairy, Vegetarian, Vegan-adaptable"
simple,HK-SP-001,Gobhi Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,cauliflower","Whole wheat flatbread stuffed with spiced cauliflower","Flaky whole wheat paratha generously stuffed with spiced, grated cauliflower - golden-crisp on the outside, soft and flavorful inside. Served with cooling raita or zesty green chutney.",taxable,,instock,3.00,"Gluten (wheat), Dairy (may contain)",Mild,"Contains: Gluten, Vegetarian"
simple,HK-SP-002,Aloo Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,potato,popular","Whole wheat flatbread stuffed with spiced potatoes","Classic Indian flatbread stuffed with seasoned mashed potatoes. Perfect breakfast or meal. Served with green chutney or raita.",taxable,,instock,3.00,"Gluten (wheat), Dairy (may contain)",Mild,"Contains: Gluten, Vegetarian"
simple,HK-SP-003,Paneer Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,paneer","Whole wheat flatbread stuffed with spiced cottage cheese","Buttery paratha filled with fragrant, spiced cottage cheese and fresh herbs - each bite a perfect blend of crispy, flaky layers and creamy, savory filling. Served with cooling raita or zesty green chutney.",taxable,,instock,3.00,"Gluten (wheat), Dairy (paneer)",Mild,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-SP-004,Cheese and Onion Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,cheese","Whole wheat flatbread stuffed with cheese and onions","Fusion paratha stuffed with cheese and onions for a delicious savory breakfast. Served with green chutney or raita.",taxable,,instock,3.00,"Gluten (wheat), Dairy (cheese)",Mild,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-CM-001,Aloo Matar with 8 Kachoris,1,"Combo Meals","veg,combo,potato","8 crispy kachoris served with potato and pea curry","Popular North Indian combo - 8 crispy, flaky kachoris (deep-fried pastries) served with spiced potato and pea curry (aloo matar).",taxable,,instock,5.00,"Gluten (wheat), May contain dairy",Medium,"Contains: Gluten, Vegetarian"
simple,HK-CM-002,Chilli Paneer with Veg Noodles,1,"Combo Meals","veg,combo,indo-chinese,paneer,noodles,spicy","Chilli paneer served with stir-fried vegetable noodles","Indo-Chinese combo featuring spicy chilli paneer with stir-fried vegetable noodles.",taxable,,instock,6.00,"Dairy (paneer), Gluten (noodles), Soy sauce",Medium to Hot,"Contains: Dairy, Gluten, Soy, Spicy, Vegetarian"
simple,HK-CM-003,Paneer Kathi Roll,1,"Combo Meals","veg,combo,roll,paneer,street-food","Paneer tikka wrapped in paratha with chutney","Paneer tikka pieces wrapped in soft paratha with onions, peppers and tangy chutney. Classic street food.",taxable,,instock,5.00,"Gluten (wheat), Dairy (paneer)",Medium,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-VBR-001,Veg Biryani w/ Raita (1000ml Box),1,"Biryani & Rice","veg,biryani,rice,popular","Aromatic basmati rice with mixed vegetables, served with raita","Fragrant basmati rice layered with mixed vegetables, herbs and aromatic spices, slow-cooked to perfection. Served with raita.",taxable,,instock,7.00,"Dairy (yogurt in raita), Cashews (may contain)",Medium,"Contains: Dairy, Vegetarian"
simple,HK-VBR-002,Veg Noodles,1,Noodles,"veg,noodles,indo-chinese,vegan-friendly","Stir-fried noodles with mixed vegetables","Silky hakka noodles wok-tossed with crisp, colorful vegetables in savory sauces and aromatic seasonings. Slightly charred, perfectly springy - street food heaven in every slurp.",taxable,,instock,4.00,"Gluten (noodles), Soy sauce",Mild to Medium,"Contains: Gluten, Soy, Vegetarian, Vegan-adaptable"
simple,HK-VBR-003,Veg Fried Rice,1,"Biryani & Rice","veg,rice,indo-chinese,vegan-friendly","Indo-Chinese style fried rice with vegetables","Perfectly wok-charred rice studded with colorful crisp vegetables, kissed with savory soy and aromatic spices. Each grain separate, flavorful, and slightly smoky - pure Indo-Chinese comfort.",taxable,,instock,4.00,"Soy sauce, Gluten (may contain)",Mild,"Contains: Soy, Vegetarian, Vegan-adaptable"
simple,HK-VBR-004,Phulka Roti (3 pcs),1,"Breads & Rolls","veg,bread,roti,vegan-friendly","3 soft whole wheat Indian flatbreads","Warm, pillowy whole wheat flatbreads puffed to perfection over an open flame - soft, slightly charred, and wonderfully aromatic. The essential accompaniment to any curry.",taxable,,instock,1.00,"Gluten (wheat)",None,"Contains: Gluten, Vegetarian, Vegan"
