SKU,Product Name,AI Image Prompt
[cite_start]HK-NVS-001,Chicken Tikka,"Professional food photography of succulent grilled chicken tikka pieces on a matte ceramic plate[cite: 1]. [cite_start]Garnished with fresh cilantro and lemon[cite: 1]. Dark slate background, soft side lighting, realistic steam."
[cite_start]HK-NVS-002,Chilli Chicken Dry,"Realistic shot of crispy Indo-Chinese chicken tossed with vibrant peppers and chillies in a spicy glaze[cite: 2]. Served on a neutral earthen plate, dark wooden table background."
[cite_start]HK-NVS-003,Tandoori Chicken,"High-resolution image of bone-in tandoori chicken with deep red char[cite: 2]. [cite_start]Served on a rustic platter with red onion rings and mint chutney[cite: 2]. Traditional tandoor aesthetic."
[cite_start]HK-NVM-001,Butter Chicken,"Top-down hero shot of creamy orange butter chicken in a traditional copper bowl[cite: 3]. [cite_start]Finished with a fresh cream swirl and a dab of melting butter[cite: 3]. 550ml bowl setting."
[cite_start]HK-NVM-002,Chicken Tikka Masala,"Close-up of marinated chicken tikka in a rich, spiced tomato and cream based masala sauce[cite: 4]. Soft lighting, served in a professional 550ml ceramic bowl."
[cite_start]HK-NVM-003,Chicken Do Pyaza,"Realistic chicken curry featuring double caramelized onions and savory brown gravy[cite: 5]. Garnished with ginger juliennes, matte ceramic bowl setting."
[cite_start]HK-NVM-004,Kadhai Chicken,"Wok-style presentation of chicken with bell peppers, tomatoes, and freshly ground kadhai spices[cite: 6]. Steam rising, rustic dark background."
[cite_start]HK-NVM-005,Hariyali Chicken,"Vibrant green chicken curry made with coriander, mint, and spinach[cite: 7]. [cite_start]Served in a white bowl to contrast the deep green herb sauce[cite: 7]."
[cite_start]HK-NVM-006,Chicken Curry,"Home-style chicken curry with a flavorful onion-tomato gravy[cite: 8]. [cite_start]Garnished with fresh coriander, served in a 550ml professional setting[cite: 8]."
[cite_start]HK-NVM-007,Chicken Changezi,"Royal Mughlai chicken curry in a rich, creamy cashew-based gravy[cite: 9]. [cite_start]Topped with a drizzle of cream, elegant rustic lighting[cite: 9]."
[cite_start]HK-NVM-008,Chicken Manchurian,"Indo-Chinese chicken dumplings in a glossy, tangy soy-based sauce with chopped spring onions[cite: 10]. 550ml bowl presentation."
[cite_start]HK-NVM-009,Egg Curry,"Hard boiled eggs halved to show yolks, simmered in a flavorful onion-tomato curry sauce[cite: 11]. [cite_start]Served in a professional 550ml bowl[cite: 11]."
[cite_start]HK-BR-001,Chicken Dum Biryani,"Aromatic basmati rice layered with spiced chicken in a 1000ml bowl[cite: 1]. [cite_start]Visible saffron and fried onions, served with cooling white raita[cite: 1]."
[cite_start]HK-BR-002,Butter Chicken Biryani,"Fusion biryani showing butter chicken flavored rice with tender chicken pieces[cite: 12]. [cite_start]Served with a side of raita, soft window lighting[cite: 12]."
[cite_start]HK-BR-003,Egg Fried Rice,"Indo-Chinese fried rice with scrambled eggs, green peas, and carrots[cite: 1]. High-contrast professional food photography."
[cite_start]HK-RL-001,Egg Chicken Kathi Roll,"Flaky paratha wrap sliced at an angle to show chicken tikka and egg lining[cite: 1]. Wrapped in parchment paper, rustic wooden background."
[cite_start]HK-RL-002,Chicken Kathi Roll,"Spiced chicken tikka wrap with onions, peppers, and tangy chutney[cite: 13]. Partially wrapped, professional street-food aesthetic."
[cite_start]HK-RL-003,Egg Roll,"Golden scrambled egg wrapped in soft paratha with onions and chutney[cite: 1]. Close-up texture, realistic lighting."
[cite_start]HK-VS-001,Paneer Tikka,"Grilled cubes of paneer with charred edges, skewered with onions and peppers[cite: 1]. Served on a white plate with mint chutney."
[cite_start]HK-VS-002,Chilli Paneer Dry,"Crispy paneer cubes tossed with peppers and green chillis in a spicy sauce[cite: 14]. Indo-Chinese style, dark textured background."
[cite_start]HK-VS-003,Gobhi Manchurian Dry,"Crispy cauliflower florets in a tangy, spicy Manchurian sauce with ginger and garlic[cite: 1]. Garnished with spring onions."
[cite_start]HK-VM-001,Paneer Tikka Masala,"Grilled paneer in a rich, spiced tomato and cream masala sauce[cite: 15]. [cite_start]550ml bowl, professional food styling[cite: 15]."
[cite_start]HK-VM-002,Chilli Paneer Gravy,"Indo-Chinese fusion curry with paneer in a spicy, tangy gravy with peppers[cite: 16]. [cite_start]Served in a 550ml bowl[cite: 16]."
[cite_start]HK-VM-003,Mushroom Chilli,"Fresh mushrooms in a spicy Indo-Chinese sauce with peppers and onions[cite: 17]. [cite_start]550ml bowl, realistic textures[cite: 17]."
[cite_start]HK-VM-004,Paneer Ke Kofte,"Soft paneer and potato dumplings in a rich, creamy tomato-based gravy[cite: 18]. [cite_start]550ml bowl, elegant plating[cite: 18]."
[cite_start]HK-VM-005,Pasanda Paneer,"Mughlai-style paneer in a rich, creamy gravy flavored with nuts[cite: 19]. [cite_start]Garnished with almond slivers, soft lighting[cite: 19]."
[cite_start]HK-VM-006,Matar Paneer,"Paneer cubes and green peas in a flavorful tomato-onion gravy[cite: 20]. [cite_start]550ml bowl, rustic North Indian style[cite: 20]."
[cite_start]HK-VM-007,Mix Vegetable,"Assorted seasonal vegetables in a spiced curry sauce[cite: 21]. [cite_start]Vibrant colors, healthy and fresh presentation[cite: 21]."
[cite_start]HK-VM-008,Dum Aloo,"Baby potatoes in a rich, aromatic Kashmiri-style gravy with yogurt[cite: 22]. [cite_start]Professional 550ml bowl setting[cite: 22]."
[cite_start]HK-VM-009,Yellow Daal Tadka,"Yellow lentils tempered with ghee, cumin, and garlic[cite: 23]. [cite_start]Served in a bowl with a visible tadka garnish on top[cite: 23]."
[cite_start]HK-SP-001,Gobhi Stuffed Paratha,"Golden-brown whole wheat flatbread stuffed with spiced cauliflower[cite: 24]. [cite_start]Served with a dollop of butter and green chutney[cite: 24]."
[cite_start]HK-SP-002,Aloo Stuffed Paratha,"Classic Indian flatbread stuffed with seasoned mashed potatoes[cite: 25]. [cite_start]Stacked on a plate, rustic breakfast setting[cite: 25]."
[cite_start]HK-SP-003,Paneer Stuffed Paratha,"Whole wheat paratha stuffed with crumbled paneer and herbs[cite: 26]. [cite_start]Served with raita, warm professional lighting[cite: 26]."
[cite_start]HK-SP-004,Cheese and Onion Paratha,"Fusion paratha stuffed with melted cheese and onions[cite: 27]. [cite_start]Sliced to show the cheesy filling, realistic texture[cite: 27]."
[cite_start]HK-CM-001,Aloo Matar Combo,"Platter with 8 crispy golden kachoris and a bowl of spiced potato and pea curry[cite: 1]. Professional combo meal styling."
[cite_start]HK-CM-002,Chilli Paneer Combo,"Indo-Chinese combo featuring spicy chilli paneer served alongside stir-fried vegetable noodles[cite: 1]. Dark slate background."
[cite_start]HK-CM-003,Paneer Kathi Roll,"Paneer tikka pieces wrapped in soft paratha with onions and chutney[cite: 28]. Professional street-food presentation."
[cite_start]HK-VBR-001,Veg Biryani (1000ml),"Fragrant basmati rice with mixed vegetables and herbs in a 1000ml box[cite: 29]. [cite_start]Served with cooling raita[cite: 29]."
[cite_start]HK-VBR-002,Veg Noodles,"Indo-Chinese hakka noodles stir-fried with fresh vegetables and aromatic sauces[cite: 1]. Glossy texture, vibrant peppers."
[cite_start]HK-VBR-003,Veg Fried Rice,"Flavorful fried rice tossed with mixed vegetables and soy sauce[cite: 1]. Clean, professional bowl presentation."
[cite_start]HK-VBR-004,Phulka Roti,"A stack of three soft, puffed whole wheat flatbreads[cite: 30]. [cite_start]Light brown charred spots, warm rustic lighting[cite: 30]."